ID,Date,JobTitle,PostTitle,Pros,Cons,EmploymentStatus,Location,OverallRating,BenefitsRating,CareerOpportunityRating,SeniorManagementRating,WorkEnvironmentRating,WorkLifeBalanceRating,DiversityRating
5330561,2019-09-11T11:41:10Z,Financial Planning Role,"Run away, don't walk!","Staff benefits, the programs are very good however IT support is atrocious. There is a procedure for absolutely everything so you aren't left wondering how to do things in the branch network.","Sell, sell, sell! Everything at CBA is about selling. Don't believe the reports that  things have changed and performance is based on customer service. They may have on paper but sales numbers are still tracked.",former employee,"New South Wales, Australia",2,3,3,1,2,1,3
5327368,2019-09-11T07:05:26Z,Customer Service Role,Great to start your career in banking; not so great to stay for more than a few years,"- Great work culture
- Amazing colleagues
- good career progress","- hard to get leave approved
- no full-time opportunities
- no staff benefits of real value",current employee,"Melbourne VIC, Australia",3,1,3,2,5,3,5
5320350,2019-08-08T11:50:19Z,Sales Manager, A job that give you a salary to put bread on the table for the family and pay rent/mortgage.,"Career break for max 2 years or more depends on each person circumstances - then come back to your own role or share role.
Free shares annually.
I enjoyed Roster Day Off monthly.","Depends  on each individual and very result driven.
some only last after 3 months while others can work well and last longer.
sometimes very stressful when you have young family.",former employee,"Western Australia, Australia",3,3,4,3,3,3,3
5306112,2019-05-06T22:24:30Z,Executive Manager,"I love working in CBA, I have an opportunity to positively impact our customers everyday.","Work life balance is great, many opportunities for development and progression, very diverse & open mindset.",Huge team which makes change slow & sometimes not timely.,current employee,"Sydney NSW, Australia",4,4,5,4,4,5,5
5302627,2019-05-06T21:35:26Z,Design Lead,Great company that looks after it's staff and it is heading in the right direction by putting stronger focus on the customer. ,"Work life balance. Management and leadership genuinely care about your development, health, personal wellbeing and providing opportunity to for career progression.",A lot of organisational change and the inherent challenges associated with this. ,current employee,"Sydney NSW, Australia",4,4,3,3,4,5,4
5300126,2019-05-06T10:13:33Z,NA,I had a great experience in working for the Commonwealth Bank of Australia and I would recommend it to anyone. ,"Good camaraderie and a close knit team
Excellent software system
The organisation is run extremely well generally speaking 
Supportive leadership
Great uniform 
","After 2009 the staff cuts, and the cutting of casual workers, were challenging things to endure for the remaining staff and put a lot of stress of management to get figures and work done with less staff.

The wages, although better than award is not necessarily very high.",former employee,"Canberra ACT, Australia",4,3,3,5,4,4,5
5296244,2019-05-06T07:53:44Z,Loan Processing Officer,"I highly recommend working for the CBA, they acknowledge when they have not got things right, they encourage and support personal development, a positive workplace environment.","The CBA is big on work/life balance and whenever possible offer flexibility in the workplace. They are also big on 'the customer experience' and encourage continuous improvement for the organisation as a whole and welcome input from staff...also to question 'why am I doing this, is there a better way?' Actively support reward and recognition.","As with all big corporations, communication can be challenging, not all depts are delivered the same or differing interpretation of information.
Also the nature of the industry, many customers have unrealistic expectations and these matters can get quite tense , but training is provided to handle these situations and safety is always paramount and so are encouraged to refer any delicate matters to a senior staff management.",former employee,"Brisbane QLD, Australia",5,5,5,5,5,5,5
5296127,2019-05-06T07:50:09Z,Customer Service Specialist,"Overall a good experience , but a lot to improve from management ","Good hours, good life/work balance","Not proper training provided all the time, shortage in staff, too many products and knowledge required that not allows you to specialise in few thinks",current employee,"Gold Coast QLD, Australia",4,3,4,3,4,5,5
5281987,2019-01-19T09:16:26Z,Customer Service Representative,"You'll have your good days and bad days,","The staff discounts, the career development can expand to different areas, making friends, work/life balance for many.","LIke many jobs theres pros and cons. The old school mentality will make your job challenging trying to bring in new improvements, sometimes you'll feel unrewarded for being a hard worker & at times if you consider to progress into a leader its mostly who you know than what you know so that will also be a challenge. Also, some management make big deals over little things but turn their backs on better things to worry about.",current employee,"Sydney NSW, Australia",4,5,4,3,4,5,5
3052201,2018-07-19T01:10:23Z,Digital,"Very political- play smart, understand the rules but stick to your principles","Great talent, wonderful teams. Fun projects. Inspiring hard working design culture, lots to learn and share. Big beast of a company with an exciting learning curve, but as someone else has said - don’t stay here too long.","Very competitive, too much ego, poor ethics.
Loyalty is not rewarded. Very hierarchical which can impact your work. There is a lack of accountability and opportunities to grow. Set boundaries and define a clear personal timeline when working here, otherwise you can easily stop evolving. Your “fit” will ultimately determine your success or failure. Core values ineffective, many don’t live them. Too much ego which gets in the way of making things happen.",current employee,"Sydney NSW, Australia",3,3,2,2,3,3,2
